tag,seed,n_samples,inter_q45_q12,ci_lo_q45,ci_hi_q45,sig_q45,inter_high50_low50,ci_lo_h50,ci_hi_h50,sig_h50,low_mse_delta,high_mse_delta
HSI,2023,468,0.0037084461495516907,-0.00230546216784833,0.009909943254015036,False,0.004949502783027608,-0.0006689021342506276,0.010551286268446227,False,0.00014937255783145954,0.00385781870738315
FTSE,2021,482,0.010499284881934183,0.0013416209245324692,0.01989602466939148,True,0.012290309330136442,0.00400088827837955,0.020447602982092448,True,0.017428013282972006,0.02792729816490619
FTSE,2022,482,0.010894684109452678,0.0038879900204932855,0.017799446061539076,True,0.006741131951441943,0.0003272608278409031,0.013277318027423999,True,0.0025886834279086808,0.013483367537361358
FTSE,2023,482,0.11808125549567786,0.09485368969178465,0.1423203755637876,True,0.11287935797024337,0.09239359213050577,0.13264548797295586,True,-0.0775137169393442,0.04056753855633366
RUT,2021,479,-0.00912694034161883,-0.02482500319466312,0.007179801315974273,False,0.0018402996637896865,-0.014959313171893618,0.017968492050464736,False,-0.03592893444807289,-0.04505587478969172
RUT,2022,479,0.02510853091515934,-0.004053465890636304,0.05464642202525504,False,0.035054722009957434,0.005681564792574643,0.0637099228658899,True,-0.0981209816589053,-0.07301245074374596
RUT,2023,479,-0.004690318441709383,-0.02529673709261278,0.01599712300528461,False,0.006908747525825959,-0.014469447448570578,0.027685409812401213,False,-0.05867806963758695,-0.06336838807929633
GBPUSD,2021,497,-0.01815342161913863,-0.023146404041609333,-0.013259572968874204,True,-0.013154711496087806,-0.017854012085738575,-0.008655494636434839,True,-0.0014566426205609817,-0.01961006423969961
GBPUSD,2022,497,-0.03127981302366524,-0.038635727145552044,-0.023969381389176148,True,-0.022664523380092526,-0.02926877512227035,-0.016239262109551362,True,-0.001049524295807174,-0.03232933731947241
GBPUSD,2023,497,-0.020095407907716786,-0.025900126095055497,-0.014461017379533078,True,-0.014696159744373744,-0.020056850725417887,-0.009525833899881474,True,-0.002503506313346232,-0.02259891422106302
AUDUSD,2021,497,-0.00830295813827817,-0.012689376140128305,-0.004080546557928786,True,-0.004193673395844118,-0.008635012492011287,0.0002697676241379431,False,0.009686912584737225,0.0013839544464590544
AUDUSD,2022,497,0.0002497124136308926,-0.00324310459039423,0.0037001040617164814,False,0.0016566958727358624,-0.0013924472493591882,0.004573225710104429,False,0.009282646427982892,0.009532358841613785
AUDUSD,2023,497,-0.006758460412007084,-0.010647558913692366,-0.0025969893644251754,True,-0.0031976757578305844,-0.006968107072498091,0.000579390555323395,False,0.010230117060615882,0.0034716566486087982
USDCAD,2021,497,0.0009117817930189755,-0.008549284406799655,0.010566541447140228,False,0.0014910446791842006,-0.006245669201046494,0.009625558144715395,False,-0.008037300319527147,-0.007125518526508171
USDCAD,2022,497,0.010187641547740938,-0.001582314944287058,0.0221609403621098,False,0.008646865391036207,-0.0009839857452520924,0.01888360950831747,False,-0.007880403239146325,0.002307238308594613
USDCAD,2023,497,0.015661219204845787,0.006900382113133211,0.0242202081145687,True,0.013658779420358943,0.006581805248157405,0.020980450965355477,True,-0.007156328016174883,0.008504891188670904
GOLD,2021,479,0.09578193606802311,0.06547861194014003,0.12804863558586302,True,0.07503109143845058,0.049622798679900416,0.10084792411551444,True,-0.111355042247213,-0.015573106179189894
GOLD,2022,479,0.06570137187471521,0.04158312426723265,0.09140235010553162,True,0.048504470356334206,0.027750233298054833,0.06908668584960959,True,-0.07802207635688978,-0.012320704482174568
GOLD,2023,479,0.13323105379898972,0.0928396495048198,0.1774239391743,True,0.10239649529308109,0.06775276595777321,0.13710042328123062,True,-0.1547099994671761,-0.021478945668186356
WTI,2021,479,0.0016147677510654091,-0.0019273398263930897,0.004964092523516601,False,0.000649970273050823,-0.002272879281746032,0.0036435532204308497,False,0.013610119183373437,0.015224886934438846
WTI,2022,479,0.004046033879921637,-0.0006081104473777463,0.008640373197718133,False,0.0026807953667507016,-0.001826410234455454,0.007132645288450664,False,0.0060454175902386305,0.010091451470160268
WTI,2023,479,0.003834701928162664,1.8481698148977463e-05,0.007556087289452226,True,0.0030170004625495817,-0.00043542287555243175,0.006411281283770739,False,0.007639304496602436,0.0114740064247651
GLD,2021,479,0.03968529074932603,0.025968711423325547,0.05393363674616668,True,0.03125718953192377,0.020075429442390665,0.04303267637977455,True,-0.029433318457316237,0.01025197229200979
GLD,2022,479,0.10362471024595817,0.07446033147892707,0.13412268238376165,True,0.07771470507558353,0.05271153835879026,0.10309111589830602,True,-0.1118458448410094,-0.008221134595051234
GLD,2023,479,0.02535688957418747,0.013382401749591181,0.03730320339400606,True,0.020311784405617497,0.010933913357901283,0.030600115791496085,True,-0.02152771305059135,0.0038291765235961193
TLT,2021,479,0.005017411256984661,0.002869656582118026,0.007122897447106701,True,0.003243963718181972,0.0013247120785139272,0.005244249098613526,True,0.006413790513848531,0.011431201770833193
TLT,2022,479,-0.005498569322862185,-0.009072799165453903,-0.0019197664381763006,True,-0.005952021206788024,-0.009061175028459066,-0.0028426118726235174,True,0.0029764967391766595,-0.002522072583685526
TLT,2023,479,-0.007430500208220525,-0.010070910035575208,-0.004897142588623376,True,-0.0075471925323388565,-0.009871557762521285,-0.00535774144660146,True,0.006259099804805694,-0.0011714004034148306
