width,asset,seed,state,n,params_L,params_N,MSE_L,MSE_N,MSPE_L,MSPE_N,P95_L,P95_N,dMSE,ci_lo,ci_hi,sig,winN
23,BTCUSD,2023,jump_ratio_lo,686,9240,9431,0.25519394874572754,0.36601191759109497,0.010655423105598819,0.013946520121458464,0.9650418758392334,1.490290641784668,0.11081792414188385,0.09677764773368835,0.12566016614437103,sig,0.27405247813411077
23,BTCUSD,2023,rv_rel_hi,362,9240,9431,0.2840350270271301,0.3934386968612671,0.011940882229650908,0.01575891650815406,0.911015510559082,1.5411157608032227,0.10940363258123398,0.08839022368192673,0.13213320076465607,sig,0.24861878453038674
23,BTCUSD,2023,rv_rel_lo,325,9240,9431,0.25373750925064087,0.3881380558013916,0.009621764833683245,0.012789736119115666,1.0280801057815552,1.2817755937576294,0.13440056145191193,0.11477924138307571,0.15442316234111786,sig,0.24615384615384617
23,BTCUSD,2023,structure_strong,284,9240,9431,0.2692185938358307,0.37478408217430115,0.013559517912364488,0.016859642473669858,0.9910696148872375,1.4415397644042969,0.10556546598672867,0.08414378762245178,0.12809915840625763,sig,0.30633802816901406
23,BTCUSD,2023,structure_weak,423,9240,9431,0.2583966851234436,0.3842494487762451,0.008677833417365746,0.012139878680481343,0.8684771060943604,1.4931720495224,0.1258527636528015,0.10627203434705734,0.14485809206962585,sig,0.23877068557919623
23,BTCUSD,2023,kmeans_0,116,9240,9431,0.27730777859687805,0.46406301856040955,0.010191915183824231,0.016289630239712576,0.9786028265953064,1.5363490581512451,0.1867552399635315,0.15076622366905212,0.22510002553462982,sig,0.15517241379310345
23,BTCUSD,2023,kmeans_2,591,9240,9431,0.2598852515220642,0.36403533816337585,0.010726505010716775,0.01359341799756208,0.9257160425186157,1.4623823165893555,0.10415009409189224,0.08881072700023651,0.12019288539886475,sig,0.2876480541455161
64,BTCUSD,2023,acf1_hi,286,9240,26200,0.2805384397506714,0.40717583894729614,0.00985879631551583,0.013632904953150171,1.202564001083374,1.6565563678741455,0.12663741409778595,0.09794667363166809,0.15454316139221191,sig,0.23776223776223776
64,BTCUSD,2023,acf1_lo,421,9240,26200,0.25065532326698303,0.4347948729991913,0.011168671915486216,0.017023592294980846,0.9124484062194824,1.23674476146698,0.18413956463336945,0.16134773194789886,0.20796112716197968,sig,0.15201900237529692
64,BTCUSD,2023,sign_persistence_hi,182,9240,26200,0.2854565978050232,0.44979649782180786,0.013886043121517776,0.01950427840345488,0.9657757878303528,1.3437609672546387,0.16433992981910706,0.1304006725549698,0.20082488656044006,sig,0.15384615384615385
64,BTCUSD,2023,sign_persistence_lo,525,9240,26200,0.25487008690834045,0.41454851627349854,0.009513079570554268,0.014316503815922088,0.9210947155952454,1.182047724723816,0.15967844426631927,0.139322891831398,0.1812373846769333,sig,0.1980952380952381
64,BTCUSD,2023,jump_ratio_hi,21,9240,26200,0.5093729496002197,1.2664453983306885,0.010095541534115982,0.025355311690132307,0.6402323842048645,1.558756709098816,0.7570724487304688,0.7038377523422241,0.8091081380844116,sig,0.0
64,BTCUSD,2023,jump_ratio_lo,686,9240,26200,0.25519394874572754,0.3978215456008911,0.010655423105598819,0.015354929485852925,0.9650418758392334,1.1791210174560547,0.14262759685516357,0.12643630802631378,0.1596895307302475,sig,0.1924198250728863
64,BTCUSD,2023,rv_rel_hi,362,9240,26200,0.2840350270271301,0.39711976051330566,0.011940882229650908,0.016986049431267074,0.911015510559082,1.1445801258087158,0.11308476328849792,0.09278270602226257,0.13267472386360168,sig,0.16298342541436464
64,BTCUSD,2023,rv_rel_lo,325,9240,26200,0.25373750925064087,0.47747892141342163,0.009621764833683245,0.01486352313111766,1.0280801057815552,1.3877893686294556,0.22374136745929718,0.19334189593791962,0.2550574541091919,sig,0.2123076923076923
64,BTCUSD,2023,structure_strong,284,9240,26200,0.2692185938358307,0.3976999819278717,0.013559517912364488,0.018816492380120228,0.9910696148872375,1.2272204160690308,0.12848137319087982,0.1061972975730896,0.1512162983417511,sig,0.18309859154929578
64,BTCUSD,2023,structure_weak,423,9240,26200,0.2583966851234436,0.44102632999420166,0.008677833417365746,0.01352732703743201,0.8684771060943604,1.336753487586975,0.18262962996959686,0.15599793195724487,0.20788222551345825,sig,0.18912529550827423
64,BTCUSD,2023,kmeans_0,116,9240,26200,0.27730777859687805,0.4079858660697937,0.010191915183824231,0.01361699636371685,0.9786028265953064,1.3153066635131836,0.13067805767059326,0.09182082116603851,0.17151378095149994,sig,0.25
64,BTCUSD,2023,kmeans_2,591,9240,26200,0.2598852515220642,0.42669129371643066,0.010726505010716775,0.016051390176982625,0.9257160425186157,1.2339403629302979,0.16680608689785004,0.14667747914791107,0.18725328147411346,sig,0.17428087986463622
128,BTCUSD,2023,acf1_hi,286,9240,52376,0.2805384397506714,0.47147855162620544,0.00985879631551583,0.015424794380858352,1.202564001083374,1.7847872972488403,0.19094008207321167,0.15144459903240204,0.22966192662715912,sig,0.26223776223776224
128,BTCUSD,2023,acf1_lo,421,9240,52376,0.25065532326698303,0.5213087797164917,0.011168671915486216,0.019482968207867855,0.9124484062194824,1.4714089632034302,0.27065348625183105,0.23750236630439758,0.30559027194976807,sig,0.23990498812351543
128,BTCUSD,2023,sign_persistence_hi,182,9240,52376,0.2854565978050232,0.5185814499855042,0.013886043121517776,0.02113565851407791,0.9657757878303528,1.7870385646820068,0.23312479257583618,0.1793614774942398,0.2898503243923187,sig,0.4230769230769231
128,BTCUSD,2023,sign_persistence_lo,525,9240,52376,0.25487008690834045,0.4951086938381195,0.009513079570554268,0.016699297064525095,0.9210947155952454,1.4490044116973877,0.24023859202861786,0.21191781759262085,0.27006271481513977,sig,0.18857142857142858
128,BTCUSD,2023,jump_ratio_hi,21,9240,52376,0.5093729496002197,1.7402898073196411,0.010095541534115982,0.034948312304668896,0.6402323842048645,2.0974478721618652,1.230916976928711,1.1684067249298096,1.293481469154358,sig,0.0
128,BTCUSD,2023,jump_ratio_lo,686,9240,52376,0.25519394874572754,0.4632183015346527,0.010655423105598819,0.017317647594810217,0.9650418758392334,1.3252898454666138,0.20802438259124756,0.18603871762752533,0.23095808923244476,sig,0.2565597667638484
