asset,seed,state,n,MSE_L,MSE_N,dMSE,ci_lo,ci_hi,sig,win_rate_N,MSPE_L_price,MSPE_N_price,P95_sqerr_L,P95_sqerr_N,params_L,params_N
GSPC,2023,sign_persistence_hi,331,0.08308830112218857,0.18029765784740448,0.09720935672521591,0.09075714647769928,0.1041143387556076,sig,0.021148036253776436,0.001494054774111293,0.0031441785426123453,0.16904878616333008,0.34366369247436523,9240,9431
GSPC,2023,sign_persistence_lo,148,0.1590547114610672,0.21347004175186157,0.05441531538963318,0.043077219277620316,0.06517785042524338,sig,0.18243243243243243,0.0030325848314660124,0.004079302368186494,0.3159323036670685,0.4616795778274536,9240,9431
GSPC,2023,jump_ratio_hi,150,0.15158970654010773,0.2333274632692337,0.08173773437738419,0.06567627936601639,0.09742692857980728,sig,0.21333333333333335,0.002533889793048593,0.0037978534817901108,0.2959689795970917,0.46153417229652405,9240,9431
GSPC,2023,jump_ratio_lo,329,0.0860300064086914,0.17104247212409973,0.08501246571540833,0.07996810972690582,0.09006823599338531,sig,0.0060790273556231,0.0017120705663541602,0.003266814060266781,0.2552405297756195,0.35034456849098206,9240,9431
GSPC,2023,rv_rel_hi,288,0.13149802386760712,0.2127429097890854,0.08124490827322006,0.07316706329584122,0.08887660503387451,sig,0.0763888888888889,0.002454586811099071,0.003952089663619031,0.2869890332221985,0.42188796401023865,9240,9431
GSPC,2023,rv_rel_lo,171,0.06278073042631149,0.1509147733449936,0.0881340503692627,0.0777304470539093,0.09920352697372437,sig,0.07017543859649122,0.001027120708247858,0.0023453278854209617,0.13431577384471893,0.33608025312423706,9240,9431
GSPC,2023,structure_strong,212,0.07454761117696762,0.17289932072162628,0.09835170209407806,0.09142053127288818,0.10570073127746582,sig,0.0,0.001414633883648734,0.0031468638403789,0.1322229504585266,0.32247933745384216,9240,9431
GSPC,2023,structure_weak,267,0.13197839260101318,0.20455966889858246,0.07258128374814987,0.06374836713075638,0.08166184276342392,sig,0.12734082397003746,0.0024099337151845548,0.00366039218702607,0.2903287410736084,0.42297542095184326,9240,9431
GSPC,2023,kmeans_1,207,0.12483899295330048,0.21397815644741058,0.0891391709446907,0.07795948535203934,0.100710429251194,sig,0.14009661835748793,0.0020750202663947486,0.003435036607243173,0.2753397226333618,0.4342568516731262,9240,9431
GSPC,2023,kmeans_2,264,0.09124704450368881,0.17368556559085846,0.08243851363658905,0.07657963782548904,0.08854048699140549,sig,0.007575757575757576,0.001867920885540648,0.0034486269089641225,0.2703929543495178,0.3641115725040436,9240,9431
BTCUSD,2021,acf1_hi,286,0.27697113156318665,0.3578537404537201,0.08088261634111404,0.05360808223485947,0.1085449755191803,sig,0.36363636363636365,0.009590153785294384,0.012476756518405534,1.0387144088745117,1.6290431022644043,9240,9431
BTCUSD,2021,acf1_lo,421,0.21896518766880035,0.34296050667762756,0.12399531155824661,0.10501276701688766,0.14436748623847961,sig,0.3016627078384798,0.010238118079653781,0.013933576051494494,0.7616021037101746,1.2814364433288574,9240,9431
BTCUSD,2021,sign_persistence_hi,182,0.2474694550037384,0.37187036871910095,0.12440096586942673,0.09913986176252365,0.15077437460422516,sig,0.37362637362637363,0.012440842478472776,0.017096443090349106,0.8729173541069031,1.2016243934631348,9240,9431
BTCUSD,2021,sign_persistence_lo,525,0.24068310856819153,0.3410516679286957,0.10036852210760117,0.08080340176820755,0.12020853906869888,sig,0.31047619047619046,0.009121520691516935,0.012043495694285004,0.8432000279426575,1.3313599824905396,9240,9431
BTCUSD,2021,jump_ratio_hi,21,0.39175087213516235,0.7716017961502075,0.37985095381736755,0.33847296237945557,0.4191886782646179,sig,0.0,0.007774445169489725,0.01540115077120381,0.49735650420188904,0.994932234287262,9240,9431
BTCUSD,2021,jump_ratio_lo,686,0.23785905539989471,0.3360479474067688,0.09818890690803528,0.08275822550058365,0.11465851962566376,sig,0.336734693877551,0.01004339408975095,0.013281288215375926,0.8633479475975037,1.2899301052093506,9240,9431
BTCUSD,2021,rv_rel_hi,362,0.26237350702285767,0.3661881685256958,0.10381466895341873,0.07984662055969238,0.12764520943164825,sig,0.30662983425414364,0.010980430903835893,0.015124053768346597,0.8361911177635193,1.314212679862976,9240,9431
BTCUSD,2021,rv_rel_lo,325,0.2335604578256607,0.3501279056072235,0.1165674552321434,0.09391532838344574,0.14070212841033936,sig,0.31384615384615383,0.009224505560804086,0.01200635152699349,0.8923622965812683,1.2515798807144165,9240,9431
BTCUSD,2021,structure_strong,284,0.23719362914562225,0.3422648012638092,0.10507120192050934,0.08346109092235565,0.12744835019111633,sig,0.3485915492957746,0.012433847711006462,0.016235976259182213,0.81133633852005,1.2868365049362183,9240,9431
BTCUSD,2021,structure_weak,423,0.24594585597515106,0.3534972369670868,0.10755137354135513,0.08477160334587097,0.12953391671180725,sig,0.3120567375886525,0.008325813106861939,0.011402767433417057,0.8866652846336365,1.3040210008621216,9240,9431
BTCUSD,2021,kmeans_0,116,0.24133433401584625,0.40044325590133667,0.15910889208316803,0.12115603685379028,0.19790008664131165,sig,0.25862068965517243,0.008998572413013307,0.014260642517286887,0.8880376219749451,1.2994968891143799,9240,9431
BTCUSD,2021,kmeans_2,591,0.24264518916606903,0.3388851583003998,0.09623996168375015,0.07902675867080688,0.11396157741546631,sig,0.3401015228426396,0.010167846521520968,0.013164388070960889,0.8436300754547119,1.2872633934020996,9240,9431
BTCUSD,2022,acf1_hi,286,0.27694040536880493,0.4778345227241516,0.20089411735534668,0.1705913096666336,0.2329021692276001,sig,0.16783216783216784,0.009717647195260465,0.016214373993672773,1.1118075847625732,1.8915133476257324,9240,9431
BTCUSD,2022,acf1_lo,421,0.2408878356218338,0.5001971125602722,0.25930923223495483,0.22798706591129303,0.2900469899177551,sig,0.1496437054631829,0.010962222518894319,0.018723703801084835,0.8688166737556458,1.756247878074646,9240,9431
BTCUSD,2022,sign_persistence_hi,182,0.27985167503356934,0.4667451083660126,0.18689344823360443,0.15267664194107056,0.22403566539287567,sig,0.2087912087912088,0.013697253271565655,0.020100197076473897,0.9525814056396484,1.3208940029144287,9240,9431
BTCUSD,2022,sign_persistence_lo,525,0.2470204383134842,0.4996114671230316,0.2525910437107086,0.22501496970653534,0.28112083673477173,sig,0.13904761904761906,0.00933608130071248,0.01687953218005501,0.919421374797821,1.886520266532898,9240,9431
BTCUSD,2022,jump_ratio_hi,21,0.47960594296455383,1.100160002708435,0.6205541491508484,0.5817639231681824,0.6572355628013611,sig,0.0,0.00952076087475146,0.022020511604624652,0.6609443426132202,1.3805633783340454,9240,9431
BTCUSD,2022,jump_ratio_lo,686,0.24861082434654236,0.4725077152252197,0.22389687597751617,0.2022317796945572,0.24703139066696167,sig,0.1618075801749271,0.010487473469284579,0.017576617374271155,0.9446811079978943,1.7779130935668945,9240,9431
BTCUSD,2022,rv_rel_hi,362,0.27499035000801086,0.5077296495437622,0.23273931443691254,0.19867926836013794,0.2683274447917938,sig,0.15193370165745856,0.011672629712438355,0.020062871321963712,0.8698059320449829,1.8871502876281738,9240,9431
BTCUSD,2022,rv_rel_lo,325,0.24816781282424927,0.5013448596000671,0.2531769871711731,0.222672700881958,0.2835654020309448,sig,0.16923076923076924,0.009555604313844052,0.015934557034688147,0.9976780414581299,1.3657175302505493,9240,9431
BTCUSD,2022,structure_strong,284,0.26343849301338196,0.45385172963142395,0.1904132068157196,0.1566554605960846,0.22555017471313477,sig,0.2007042253521127,0.013495954847236908,0.020092536147015592,0.9714890122413635,1.7792997360229492,9240,9431
BTCUSD,2022,structure_weak,423,0.25012341141700745,0.5161933302879333,0.26606985926628113,0.236969456076622,0.29670196771621704,sig,0.1276595744680851,0.00841960189523338,0.01610806145790709,0.8628159165382385,1.756339430809021,9240,9431
