width,asset,seed,state,n,params_L,params_N,MSE_L,MSE_N,MSPE_L,MSPE_N,P95_L,P95_N,dMSE,ci_lo,ci_hi,sig,winN
64,BOE,2022,rv_rel_lo,204,9240,26200,0.025477664545178413,0.03346950560808182,0.00237536631073625,0.0031469948475715184,0.1291666477918625,0.1735284924507141,0.007991841994225979,0.006032796576619148,0.010100936517119408,sig,0.2647058823529412
64,BOE,2022,structure_strong,248,9240,26200,0.03639109060168266,0.04213445261120796,0.0032014783047643954,0.0038166985703663977,0.13533088564872742,0.1755056232213974,0.005743362940847874,0.003401422407478094,0.008225562050938606,sig,0.35080645161290325
64,BOE,2022,structure_weak,209,9240,26200,0.025132978335022926,0.026658911257982254,0.0019876127695141774,0.0021639308727183946,0.06026696041226387,0.05594060942530632,0.0015259345527738333,-6.268444121815264e-05,0.0030238348990678787,ns,0.35406698564593303
64,BOE,2022,kmeans_0,129,9240,26200,0.03135098144412041,0.03822056204080582,0.00284600778024263,0.0035763008525206436,0.13534821569919586,0.1732330471277237,0.006869585253298283,0.0034340990241616964,0.010328608565032482,sig,0.3333333333333333
64,BOE,2022,kmeans_1,127,9240,26200,0.03812946006655693,0.040840841829776764,0.0032472548890365178,0.003554257948137787,0.13159452378749847,0.17592884600162506,0.0027113836258649826,-0.00013450391998048872,0.005561002995818853,ns,0.3858267716535433
64,BOE,2022,kmeans_2,201,9240,26200,0.026821214705705643,0.02937222085893154,0.002138513999259185,0.0024182548679619357,0.06695423275232315,0.068875253200531,0.0025510054547339678,0.00061401556013152,0.0044243596494197845,sig,0.34328358208955223
128,BOE,2022,acf1_hi,258,9240,52376,0.022336028516292572,0.01822822540998459,0.001793111567597789,0.0014772248725305817,0.0677361786365509,0.045341573655605316,-0.004107802174985409,-0.0057216910645365715,-0.0025926069356501102,sig,0.6317829457364341
128,BOE,2022,acf1_lo,199,9240,52376,0.04278938099741936,0.04682125523686409,0.003752537205878409,0.004176201164958315,0.1360144168138504,0.15567182004451752,0.00403186958283186,0.0023044683039188385,0.005712971091270447,sig,0.38190954773869346
128,BOE,2022,sign_persistence_hi,68,9240,52376,0.05002482980489731,0.046560514718294144,0.004483995863777927,0.004195651217399217,0.14715544879436493,0.15521110594272614,-0.003464312292635441,-0.0058623915538191795,-0.0011911828769370914,sig,0.5882352941176471
128,BOE,2022,sign_persistence_lo,389,9240,52376,0.02795911207795143,0.027902819216251373,0.0023251053204964888,0.002382734617368761,0.0844835415482521,0.09217008203268051,-5.6291759392479435e-05,-0.001437608152627945,0.0013359581353142858,ns,0.5115681233933161
128,BOE,2022,jump_ratio_hi,40,9240,52376,0.04015902429819107,0.03174073249101639,0.002890605476654606,0.0023470447883164177,0.08506174385547638,0.05865251645445824,-0.008418291807174683,-0.01641458086669445,-0.0010713235242292285,sig,0.65
128,BOE,2022,jump_ratio_lo,417,9240,52376,0.03038710169494152,0.030577177181839943,0.002622909998426496,0.002681789586107765,0.12814879417419434,0.13184192776679993,0.00019007406081072986,-0.0009282740065827966,0.0012803555000573397,ns,0.5107913669064749
128,BOE,2022,rv_rel_hi,233,9240,52376,0.03663192689418793,0.0344114825129509,0.002891259668887302,0.002788669585429996,0.1115117073059082,0.09592616558074951,-0.0022204392589628696,-0.004478619899600744,-7.889465632615611e-05,sig,0.5836909871244635
128,BOE,2022,rv_rel_lo,204,9240,52376,0.025477664545178413,0.02745579183101654,0.00237536631073625,0.002567322541247189,0.1291666477918625,0.14553223550319672,0.001978131942451,0.0010116457706317306,0.0030607483349740505,sig,0.4264705882352941
128,BOE,2022,structure_strong,248,9240,52376,0.03639109060168266,0.037374407052993774,0.0032014783047643954,0.0033400919170215246,0.13533088564872742,0.15204046666622162,0.0009833192452788353,-0.0006078399019315839,0.002712759654968977,ns,0.4798387096774194
