asset,n_rows,is_new,n_samples,realized_vol,relative_vol,acf1_abs,jump_ratio,trend_persistence,sign_persistence,skew,kurtosis
MEDETF,2407,True,458,0.01381451579082964,1.0256953210070698,0.0981868606517711,0.010526315789473684,0.71285134315951,0.12631578947368421,0.6270113257372951,3.4635184194863697
MIDEA,2358,True,448,0.015484636601922522,0.9941772073310559,0.08043328798542063,0.010526315789473684,0.5301307792200451,0.06315789473684211,-0.12129694966004922,1.1044555907827953
MOUTAI,2409,True,458,0.012648693747697993,0.999219119178377,0.07193941783334216,0.021052631578947368,0.3523800503669156,0.06315789473684211,0.34009753007713306,3.3464185126206347
NVO,2513,False,479,0.022039183154385175,1.106530506258432,0.15619446438504136,0.010526315789473684,1.0471367074615523,0.09473684210526316,-0.3830054846879182,4.217063512449318
PINGAN,2408,True,458,0.01346208490452101,1.041603184123361,0.062358780786757946,0.010526315789473684,0.7095761184345026,0.031578947368421054,0.19209544804179388,1.7360271048379365
SECETF,2262,True,429,0.016143559152312414,1.0490824531133378,0.053901108107684524,0.021052631578947368,0.805845053738375,0.021052631578947368,1.0352308424211771,3.439150353844284
SINOPEC,2408,True,458,0.013932562667345012,0.9603496289780845,0.12897321670955003,0.010526315789473684,0.47555041272562304,0.05263157894736842,-0.28632842427043587,4.687212357915419
SOX,2513,False,479,0.021087550442845156,1.038695340994963,0.11447214850219654,0.010526315789473684,0.6780966707439025,0.09473684210526316,-0.14558693644660473,1.3219865456480835
SP500ETF,2403,True,457,0.010385348417703616,1.0768559885806939,0.08411906202757398,0.010526315789473684,0.9592904689271339,0.14736842105263157,-0.24013068056466577,1.669495785331946
SSE,2409,True,458,0.012413341139145977,0.9712987190700648,0.07088879803764778,0.010526315789473684,0.491601081294777,0.07368421052631578,-0.4973246419797736,8.275010741186122
TECHETF,1422,True,261,0.02078037469242268,1.634854695134027,0.051361556414214936,0.010526315789473684,0.46750230955257194,0.06315789473684211,-1.6273137954935377,8.280674022083996
TM,2513,False,479,0.017368447579228265,1.034227567031618,0.06884445859488723,0.010526315789473684,0.6575479036205095,0.05263157894736842,0.6916030444285526,3.6969309840267646
USDJPY,2602,False,497,0.0061512825283309425,1.0168923514010677,0.07191761620234943,0.010526315789473684,0.7250770771390384,0.11578947368421053,-0.3828742909395298,1.4578341640909902
VANKE,2283,True,433,0.024087440946113488,0.9720888095558251,0.09623221857971875,0.010526315789473684,0.7056825294105177,0.09473684210526316,0.8375852969406617,2.591849355185951
WULIANG,2406,True,458,0.015711506400904546,0.9870840908063832,0.04960673454713356,0.021052631578947368,0.5281904608265104,0.1368421052631579,0.7030840211437122,2.1299407655928655
YANGHE,2408,True,458,0.01510678331239702,1.0180953360096612,0.13072443194801336,0.021052631578947368,0.8758307788137949,0.11578947368421053,0.31993974914173373,3.8573329006938453
YANGTZE,2390,True,455,0.009466842355336109,0.9947553695627375,0.12458823443354813,0.021052631578947368,0.8441297994641591,0.05263157894736842,-0.21729742313337813,2.05339182156354
YILI,2383,True,453,0.011740003413774399,1.0505368830944757,0.09617452804859451,0.021052631578947368,0.495462027760515,0.07368421052631578,0.5308330868654326,3.8437226314677164
